separation,tau,defect
40.0,102,0.9338404648577142
40.0,104,0.9318886144521645
40.0,106,0.9367140556140328
40.0,108,0.9387742345923352
40.0,110,0.93782489041878
40.0,112,0.9390830488951485
40.0,114,0.9376380064418465
40.0,116,0.9334424513139932
40.0,118,0.9313904337660713
40.0,120,0.9324464023853142
43.0,0,0.0
43.0,2,2.620333303792397e-16
43.0,4,4.2893405575434514e-16
43.0,6,5.514301334313026e-16
43.0,8,7.624467709060247e-16
43.0,10,8.710460042256646e-16
43.0,12,1.1528435293602848e-05
43.0,14,0.0017748793176970623
43.0,16,0.051165087021170244
43.0,18,0.1875281940652647
43.0,20,0.4417358672087176
43.0,22,0.7204651585929093
43.0,24,0.9749156507516734
43.0,26,1.2102936452649247
43.0,28,1.4006244392703844
43.0,30,1.5149280792723325
43.0,32,1.5422507557814062
43.0,34,1.481350265977301
43.0,36,1.2695589247370158
43.0,38,1.125498620890936
43.0,40,1.0139341169575573
43.0,42,0.9407474054130656
43.0,44,0.9288652842038011
43.0,46,0.9217479341401328
43.0,48,0.9263751298187056
43.0,50,0.9338454994050752
43.0,52,0.9346413642478975
43.0,54,0.939346724250427
43.0,56,0.9398586611550506
43.0,58,0.9414567044831661
43.0,60,0.9467013254470191
43.0,62,0.9464908848510885
43.0,64,0.9417675741433015
43.0,66,0.9353672667906725
43.0,68,0.9313712491488509
43.0,70,0.9281633667124658
43.0,72,0.9337554097628245
43.0,74,0.9302844824050993
43.0,76,0.9307965234360503
43.0,78,0.9312845258818505
43.0,80,0.939747193603078
43.0,82,0.9413093223282184
43.0,84,0.9398255223619385
43.0,86,0.944240895284641
43.0,88,0.9428963085784408
43.0,90,0.9356658403724422
43.0,92,0.9266745684879327
43.0,94,0.9313107515498448
43.0,96,0.9311895519064506
43.0,98,0.93817610049692
43.0,100,0.9345158177870408
43.0,102,0.9338404648577152
43.0,104,0.9318886144521652
43.0,106,0.9367140556140328
43.0,108,0.9387742345923333
43.0,110,0.93782489041878
43.0,112,0.9390830488951487
43.0,114,0.937638006441847
43.0,116,0.9334424513139928
43.0,118,0.9313904337660718
43.0,120,0.9324464023853134
46.0,0,0.0
46.0,2,2.5563494951578324e-16
46.0,4,4.65739182499146e-16
46.0,6,6.360036775971425e-16
46.0,8,7.808565526683882e-16
46.0,10,8.325748730773373e-16
46.0,12,9.651507104990267e-16
